sprint_id	title	status	created_at	updated_at
001	Vertical Slice — Full World, Core Loop, Persistent Economy	planned	2026-02-28T17:17:05Z	2026-02-28T17:17:05Z
002	World Vibrancy — Dense 3D Props, Fantasy Boundaries, Ambient Soundscape	planned	2026-02-28T18:30:56Z	2026-02-28T22:27:00Z
003	Cauldron Ascension — Timed Brewing, VFX Spectacle, Player Stats, Evolving Environment	planned	2026-02-28T23:48:49Z	2026-02-28T23:48:49Z
004	Ingredient Market Overhaul — Full Catalog, 3D Previews, Freshness Economy, Divine Dual-Source	planned	2026-03-01T18:53:32Z	2026-03-01T18:53:32Z
005	Brewing Mastery — Full Recipe Matrix, Mutation System, Advanced Brewing	planned	2026-03-01T19:40:53Z	2026-03-01T19:40:53Z
006	Economy & Progression — Scoring, Global Leaderboard, Daily Demand, Upgrades, Non-Modal Brew Timer	planned	2026-03-01T20:19:01Z	2026-03-01T20:19:01Z
007	Zone Overhaul — Potion Displays, Expanded Wild Grove, Daily Demand Board, Fantasy Polish	planned	2026-03-02T17:17:12Z	2026-03-02T17:17:12Z
008	Nuclear Visual Rebuild — Clean Zones, Flat World, Functional Foraging	completed	2026-03-02T18:32:23Z	2026-03-02T19:02:35Z
009	Trading Post Experience — Always-Stocked Market, Flash Sales, NPC Merchants	completed	2026-03-02T20:21:59Z	2026-03-02T20:30:10Z
010	Progression Loop — Upgrade Shop, Storage Limits, Onboarding	planned	2026-03-04T02:23:50Z	2026-03-04T02:23:50Z
011	Starbound Foraging — Progression-Linked Foraging & Grove Expansion	planned	2026-03-06T17:00:30Z	2026-03-06T17:00:30Z
012	Potion Arena — PvP Duels with Auto-Sim & Boost Mechanic	planned	2026-03-11T23:05:13Z	2026-03-11T23:05:13Z
013	Robux Shop — Developer Products for Potions & Ingredients	planned	2026-03-11T23:14:37Z	2026-03-11T23:14:37Z
